,date,pm25,pm10,o3,no2,so2,co,Lat,Long,City,District,Country,DATE
0,2014/1/1,0,83,14,29,11,7,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-01
1,2014/1/1,0,79,12,30,6,7,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-01
2,2014/1/1,0,100,18,31,11,11,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-01
3,2014/1/1,0,83,25,12,11,9,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-01
4,2014/1/1,0,76,11,34,13,8,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-01
5,2014/1/1,0,86,10,51,8,16,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-01
6,2014/1/10,0,30,9,32,12,10,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-10
7,2014/1/10,0,27,8,48,12,10,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-10
8,2014/1/10,0,23,16,35,9,9,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-10
9,2014/1/10,0,35,15,39,10,10,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-10
10,2014/1/10,0,42,15,39,14,11,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-10
11,2014/1/10,0,32,25,22,9,9,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-10
12,2014/1/11,0,43,29,23,15,11,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-11
13,2014/1/11,0,42,16,38,17,10,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-11
14,2014/1/11,0,51,25,34,12,11,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-11
15,2014/1/11,0,47,21,24,14,9,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-11
16,2014/1/11,0,50,22,29,19,10,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-11
17,2014/1/11,0,44,30,24,13,8,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-11
18,2014/1/12,0,54,25,14,8,6,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-12
19,2014/1/12,0,49,15,20,8,5,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-12
20,2014/1/12,0,56,21,23,9,7,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-12
21,2014/1/12,0,57,25,19,7,5,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-12
22,2014/1/12,0,54,23,30,5,7,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-12
23,2014/1/12,0,54,16,21,6,5,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-12
24,2014/1/13,0,37,23,22,11,10,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-13
25,2014/1/13,0,15,25,26,10,7,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-13
26,2014/1/13,0,29,15,28,9,7,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-13
27,2014/1/13,0,38,17,31,11,10,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-13
28,2014/1/13,0,20,12,38,6,10,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-13
29,2014/1/13,0,23,11,37,10,7,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-13
30,2014/1/14,0,36,14,30,13,9,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-14
31,2014/1/14,0,26,25,35,16,10,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-14
32,2014/1/14,0,36,11,39,13,9,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-14
33,2014/1/14,0,55,17,36,13,12,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-14
34,2014/1/14,0,33,16,35,10,10,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-14
35,2014/1/14,0,43,22,24,12,11,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-14
36,2014/1/15,0,51,4,39,21,13,37.4784,126.9516,Gwanak-Gu,Seoul, South Korea,2014-01-15
37,2014/1/15,0,47,19,43,13,13,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-15
38,2014/1/15,0,45,9,44,11,13,36.3045,127.3667,Jeongnim-Dong,Seo-Gu, Daejeon,2014-01-15
39,2014/1/15,0,55,10,26,12,13,37.8813,127.7299,Jungang-Way,Chuncheon-Si, Gangwon,2014-01-15
40,2014/1/15,0,60,6,52,18,16,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-15
41,2014/1/15,0,48,2,60,16,11,37.6542,127.0568,Nowon-Gu,Seoul, South Korea,2014-01-15
42,2014/1/16,0,83,13,40,12,17,37.7577,126.7705,Geumchon-Dong,Paju-Si, Gyeonggi,2014-01-16
43,2014/1/16,0,58,18,51,13,14,35.1292,126.8969,Juwol-Dong,Nam-Gu, Gwangju,2014-01-16
